;DT;T;O;WT;D;C;A
DT;NaN;33.707865;15.730337;2.247191;NaN;3.370787;44.943820
T;61.290323;NaN;4.838710;4.838710;1.612903;4.838710;22.580645
O;13.333333;20.000000;NaN;20.000000;10.000000;3.333333;33.333333
WT;25.000000;25.000000;10.714286;NaN;NaN;NaN;39.285714
D;11.111111;NaN;33.333333;NaN;NaN;22.222222;33.333333
C;38.461538;15.384615;NaN;7.692308;7.692308;NaN;30.769231
A;40.740741;20.987654;8.641975;19.753086;4.938272;4.938272;NaN
