Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;DT;T;54.0;46.153846;46.153846;0.000000;3.831980
2;T;DT;54.0;46.153846;92.307692;0.693147;3.831980
3;O;DT;2.0;1.709402;94.017094;1.098612;0.536143
4;DT;A;2.0;1.709402;95.726496;1.386294;0.536143
5;A;T;2.0;1.709402;97.435897;1.609438;0.536143
6;T;A;1.0;0.854701;98.290598;1.791759;-0.157004
7;T;O;1.0;0.854701;99.145299;1.945910;-0.157004
8;A;O;1.0;0.854701;100.000000;2.079442;-0.157004
